Date	Order	Scored	Against	Place	Result	Type	Rival
16.10.2018	949	1	2	away	lost	official	World
15.11.2018	950	3	0	home	won	friendly	World
19.11.2018	951	2	2	home	drawn	official	Other
20.03.2019	952	1	1	home	drawn	friendly	Other
24.03.2019	953	3	2	away	won	official	Other
08.06.2019	954	2	0	away	won	official	Other
11.06.2019	955	8	0	home	won	official	Other
06.09.2019	956	2	4	home	lost	official	Other
09.09.2019	957	2	0	away	won	official	Other
09.10.2019	958	2	2	home	drawn	friendly	World
13.10.2019	959	3	0	away	won	official	Other
16.11.2019	960	4	0	home	won	official	Other
19.11.2019	961	6	1	home	won	official	Other
03.09.2020	962	1	1	home	drawn	official	World
06.09.2020	963	1	1	away	drawn	official	Other
07.10.2020	964	3	3	home	drawn	friendly	Other
10.10.2020	965	2	1	away	won	official	Other
13.10.2020	966	3	3	home	drawn	official	Other
11.11.2020	967	1	0	home	won	friendly	Other
14.11.2020	968	3	1	home	won	official	Other
17.11.2020	969	0	6	away	lost	official	World
25.03.2021	970	3	0	home	won	official	Other
28.03.2021	971	1	0	away	won	official	Other
31.03.2021	972	1	2	home	lost	official	Other
02.06.2021	973	1	1	home	drawn	friendly	Other
07.06.2021	974	7	1	home	won	friendly	Other
15.06.2021	975	0	1	home	lost	official	World
19.06.2021	976	4	2	home	won	official	Other
23.06.2021	977	2	2	home	drawn	official	Other
29.06.2021	978	0	2	away	lost	official	World
02.09.2021	979	2	0	away	won	official	Other
05.09.2021	980	6	0	home	won	official	Other
08.09.2021	981	4	0	away	won	official	Other
08.10.2021	982	2	1	home	won	official	Other
11.10.2021	983	4	0	away	won	official	Other
11.11.2021	984	9	0	home	won	official	Other
14.11.2021	985	4	1	away	won	official	Other
26.03.2022	986	2	0	home	won	friendly	Other
29.03.2022	987	1	1	away	drawn	friendly	Other
04.06.2022	988	1	1	away	drawn	official	World
07.06.2022	989	1	1	home	drawn	official	World
11.06.2022	990	1	1	away	drawn	official	Other
14.06.2022	991	5	2	home	won	official	World
23.09.2022	992	0	1	home	lost	official	Other
26.09.2022	993	3	3	away	drawn	official	World
